const,country,rated,awards,is_adult
tt0041452,United States,Approved,Won 4 Oscars. 13 wins & 9 nominations total,
tt0041470,Italy,,,
tt0041502,United States,,,
tt0041506,Italy,,3 wins,
tt0041588,Italy,,,
tt0041609,Italy,,,
tt0041622,United States,Approved,,
tt0041625,United States,Approved,1 nomination,
tt0041633,Italy,,,
tt0041637,Italy,,,
tt0041643,United States,Approved,,
tt0041657,Italy,,,
tt0041662,United States,Approved,,
tt0041668,Italy,,,
tt0041684,Italy,,,
tt0041687,United States,Approved,Won 1 Oscar. 1 win & 1 nomination total,
tt0041739,Italy,,1 nomination total,
tt0041749,"Italy, United States",Approved,,
tt0041755,Soviet Union,S,,
tt0041758,Italy,,,
tt0041762,"Italy, France",,,
tt0041763,France,,,
tt0041767,United States,Approved,Nominated for 2 Oscars. 1 win & 3 nominations total,
tt0041788,United States,Passed,Nominated for 1 Oscar. 1 nomination total,
tt0041814,Italy,,,
tt0041822,United States,Approved,1 nomination,
tt0041838,United States,Approved,Won 2 Oscars. 7 wins & 5 nominations total,
tt0041843,Italy,,,
tt0041873,Italy,,,
tt0041896,United States,Approved,,
tt0041917,United States,Passed,,
tt0041925,"Italy, United Kingdom",Approved,,
tt0041947,United States,Approved,,
tt0041974,Italy,,,
tt0041979,Italy,,,
tt0041991,Italy,G,,
tt0042021,Italy,,,
tt0042052,United States,Approved,,
tt0042190,Italy,,,
tt0042196,Italy,,,
tt0042208,United States,Approved,Nominated for 4 Oscars. 5 wins & 14 nominations total,
tt0042235,"France, Italy",Approved,Nominated for 1 BAFTA Award4 wins & 1 nomination total,
tt0042284,Italy,,1 win total,
tt0042286,United States,Approved,Nominated for 3 Oscars. 4 wins & 6 nominations total,
tt0042297,Italy,,,
tt0042299,United States,Approved,,
tt0042301,Italy,,2 wins & 1 nomination,
tt0042303,Italy,,,
tt0042307,Italy,,,
tt0042310,United States,Approved,Won 1 Oscar. 2 wins total,
tt0042333,United Kingdom,Approved,,
tt0042342,Italy,,,
tt0042346,"Spain, France",,1 win & 1 nomination,
tt0042351,Mexico,,1 win & 1 nomination,
tt0042354,Italy,,2 wins & 1 nomination,
tt0042359,Yugoslavia,,,
tt0042362,"Italy, France",,,
tt0042367,United States,Approved,Won 1 Oscar. 5 wins & 4 nominations total,
tt0042379,United States,Approved,,
tt0042383,United States,Approved,,
tt0042395,United States,Approved,2 nominations total,
