Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
870,tt0158303,2024-01-20,2024-01-20,,"La bella seduttrice","Une fille dans le soleil",https://www.imdb.com/title/tt0158303/,Film,,92,1953,"Commedia",0,1955,"Maurice Cam",,
871,tt0043455,2024-01-20,2024-01-20,,"Davide e Betsabea","David and Bathsheba",https://www.imdb.com/title/tt0043455/,Film,6.1,116,1951,"Drammatico, Per famiglie, Storico, Sentimentale",2798,1951-08-10,"Henry King",,
872,tt0045590,2024-01-20,2024-01-20,,"Café chantant","Café chantant",https://www.imdb.com/title/tt0045590/,Film,5.1,84,1953,"Commedia, Musical",64,2021-03-30,"Camillo Mastrocinque",,
873,tt0021695,2024-01-20,2024-01-20,,"La trovatella","The Brat",https://www.imdb.com/title/tt0021695/,Film,6.1,60,1931,"Commedia",235,1931-09-20,"John Ford",,
874,tt0042342,2024-01-20,2024-01-20,,"Contro la legge","Contro la legge",https://www.imdb.com/title/tt0042342/,Film,6.2,99,1950,"Poliziesco, Thriller",23,1950-09-08,"Flavio Calzavara",,
875,tt0041357,2024-01-20,2024-01-20,,"Fiamme sulla laguna","Fiamme sulla laguna",https://www.imdb.com/title/tt0041357/,Film,,82,1951,"Drammatico, Sentimentale",0,1953-02-19,"Giuseppe Maria Scotese",,
876,tt0045054,2024-01-20,2024-01-20,,"Processo alla città","Processo alla città",https://www.imdb.com/title/tt0045054/,Film,7.3,103,1952,"Poliziesco, Drammatico, Giallo",181,1952-09-05,"Luigi Zampa",,
877,tt0048780,2024-01-20,2024-01-20,,"Vendicata!","Vendicata!",https://www.imdb.com/title/tt0048780/,Film,,90,1956,"Drammatico",0,1956-03-07,"Giuseppe Vari",,
878,tt0040284,2024-01-20,2024-01-20,,"Gli ultimi giorni di Pompei","Gli ultimi giorni di Pompei",https://www.imdb.com/title/tt0040284/,Film,5.6,110,1950,"Drammatico, Storico",141,1950-03-02,"Marcel L'Herbier, Paolo Moffa",,
879,tt0047999,2024-01-20,2024-01-20,,"Disperato addio","Disperato addio",https://www.imdb.com/title/tt0047999/,Film,4.8,100,1955,"Drammatico",13,1955-09-06,"Lionello De Felice",,
880,tt0046159,2024-01-20,2024-01-20,,"Pane, amore e fantasia","Pane, amore e fantasia",https://www.imdb.com/title/tt0046159/,Film,6.9,93,1953,"Commedia, Sentimentale",2366,1953-12-23,"Luigi Comencini",,
881,tt0039499,2024-01-20,2024-01-20,,"L'isola del sogno","L'isola del sogno",https://www.imdb.com/title/tt0039499/,Film,,,1947,,0,,"Ernesto Remani",,
882,tt0045296,2024-01-20,2024-01-20,,"Viva Zapata!","Viva Zapata!",https://www.imdb.com/title/tt0045296/,Film,7.2,113,1952,"Biografico, Drammatico, Storico, Western",13056,1952-09-18,"Elia Kazan",,
883,tt0045316,2024-01-20,2024-01-20,,"Il grande gaucho","Way of a Gaucho",https://www.imdb.com/title/tt0045316/,Film,6.4,87,1952,"Azione, Avventura, Drammatico, Sentimentale, Western",891,1952-10-16,"Jacques Tourneur",,
884,tt0047832,2024-01-20,2024-01-20,,"L'angelo bianco","L'angelo bianco",https://www.imdb.com/title/tt0047832/,Film,6.5,96,1955,"Drammatico",302,1955-04-06,"Raffaello Matarazzo",,
885,tt0043686,2024-01-20,2024-01-20,,"Giochi proibiti","Jeux interdits",https://www.imdb.com/title/tt0043686/,Film,8.0,86,1952,"Drammatico, Guerra",13713,1952-10-29,"René Clément",,
886,tt0047327,2024-01-20,2024-01-20,,"Pane, amore e gelosia","Pane, amore e gelosia",https://www.imdb.com/title/tt0047327/,Film,6.6,97,1954,"Commedia, Sentimentale",946,1954-12-06,"Luigi Comencini",,
887,tt0046856,2024-01-20,2024-01-20,,"I cinque dell'Adamello","I cinque dell'Adamello",https://www.imdb.com/title/tt0046856/,Film,5.7,109,1954,"Drammatico, Guerra",19,,"Pino Mercanti",,
888,tt0040725,2024-01-20,2024-01-20,,"Scarpette rosse","The Red Shoes",https://www.imdb.com/title/tt0040725/,Film,8.1,135,1948,"Drammatico, Musica, Sentimentale",41477,1949-04-02,"Michael Powell, Emeric Pressburger",,
889,tt0049628,2024-01-20,2024-01-20,,"Porta un bacione a Firenze","Porta un bacione a Firenze",https://www.imdb.com/title/tt0049628/,Film,6.3,90,1956,"Sentimentale",20,,"Camillo Mastrocinque",,
890,tt0047329,2024-01-20,2024-01-20,,"Papà Pacifico","Papà Pacifico",https://www.imdb.com/title/tt0047329/,Film,4.5,90,1954,"Commedia",14,1954-08-12,"Guido Brignone",,
891,tt0040637,2024-01-20,2024-01-20,,"Natale al campo 119","Natale al campo 119",https://www.imdb.com/title/tt0040637/,Film,6.2,90,1947,"Commedia, Drammatico, Guerra",70,1947-12-22,"Pietro Francisci",,
892,tt0042771,2024-01-20,2024-01-20,,"La strada del mistero","Mystery Street",https://www.imdb.com/title/tt0042771/,Film,7.2,93,1950,"Poliziesco, Drammatico, Noir, Giallo, Thriller",3628,1952-01-11,"John Sturges",,
893,tt0044634,2024-01-20,2024-01-20,,"Fratelli d'Italia","Fratelli d'Italia",https://www.imdb.com/title/tt0044634/,Film,7.0,103,1952,"Drammatico",6,1952-12-30,"Fausto Saraceni",,
894,tt0044849,2024-01-20,2024-01-20,,"Vendicherò il mio passato","The Long Memory",https://www.imdb.com/title/tt0044849/,Film,7.0,96,1953,"Poliziesco, Drammatico, Thriller",1368,1953-04-04,"Robert Hamer",,
895,tt0039001,2024-01-20,2024-01-20,,"Fiamme nella jungla","Swamp Fire",https://www.imdb.com/title/tt0039001/,Film,5.4,69,1946,"Azione, Avventura, Drammatico",283,1946-09-06,"William H. Pine",,
896,tt0045943,2024-01-20,2024-01-20,,"Giulio Cesare","Julius Caesar",https://www.imdb.com/title/tt0045943/,Film,7.2,120,1953,"Drammatico, Storico",13555,1953-06-04,"Joseph L. Mankiewicz",,
897,tt0046700,2024-01-21,2024-01-21,,"Alvaro piuttosto corsaro","Alvaro piuttosto corsaro",https://www.imdb.com/title/tt0046700/,Film,5.6,90,1954,"Musical",22,,"Camillo Mastrocinque",,
898,tt0046006,2024-01-21,2024-01-21,,"I confini del proibito","The Kidnappers",https://www.imdb.com/title/tt0046006/,Film,7.1,93,1953,"Drammatico, Per famiglie",585,1955-03,"Philip Leacock",,
899,tt0045602,2024-01-21,2024-01-21,,"Capitan Fantasma","Capitan Fantasma",https://www.imdb.com/title/tt0045602/,Film,4.8,86,1953,"Azione, Avventura, Drammatico",34,1953-11-11,"Primo Zeglio",,
900,tt0039853,2024-01-21,2024-01-21,,"Il canto dell'uomo ombra","Song of the Thin Man",https://www.imdb.com/title/tt0039853/,Film,6.9,86,1947,"Commedia, Poliziesco, Musical, Giallo",5968,1950,"Edward Buzzell",,
901,tt12756958,2024-01-21,2024-01-21,,"Manon Lescaut","Manon Lescaut",https://www.imdb.com/title/tt12756958/,Film per la TV,,113,1956,"Drammatico",0,1956,"Margarete Wallmann",,
902,tt0048738,2024-01-21,2024-01-21,,"Torna piccina mia!","Torna piccina mia!",https://www.imdb.com/title/tt0048738/,Film,4.4,91,1955,"Sentimentale",8,,"Carlo Campogalliani",,
903,tt0043590,2024-01-21,2024-01-21,,"Allo sbaraglio","Go for Broke!",https://www.imdb.com/title/tt0043590/,Film,6.6,92,1951,"Drammatico, Storico, Guerra",1892,1951-09-14,"Robert Pirosh",,
904,tt0051060,2024-01-21,2024-01-21,,"Te stò aspettanno","Te stò aspettanno",https://www.imdb.com/title/tt0051060/,Film,4.4,87,1956,"Drammatico",12,1956,"Armando Fizzarotti",,
905,tt0045300,2024-01-21,2024-01-21,,"La tigre sacra","Voodoo Tiger",https://www.imdb.com/title/tt0045300/,Film,5.9,67,1952,"Avventura, Per famiglie",288,1952-11,"Spencer Gordon Bennet",,
906,tt0042737,2024-01-21,2024-01-21,,"I miracoli non si ripetono","Les miracles n'ont lieu qu'une fois",https://www.imdb.com/title/tt0042737/,Film,6.5,98,1951,"Drammatico, Sentimentale, Guerra",117,1951-09-28,"Yves Allégret",,
907,tt0046915,2024-01-21,2024-01-21,,"Il figlio conteso","The Divided Heart",https://www.imdb.com/title/tt0046915/,Film,6.9,89,1954,"Drammatico",326,1955-03-25,"Charles Crichton",,
908,tt0163802,2024-01-21,2024-01-21,,"Questa è la vita","Questa è la vita",https://www.imdb.com/title/tt0163802/,Film,6.3,102,1954,"Commedia",212,1954-02-03,"Aldo Fabrizi, Giorgio Pastina, Mario Soldati, Luigi Zampa",,
909,tt0144697,2024-01-31,2024-01-31,,"È arrivato il cavaliere","È arrivato il cavaliere!",https://www.imdb.com/title/tt0144697/,Film,5.5,90,1950,"Commedia",63,1950-12-06,"Mario Monicelli, Steno",,
910,tt0038559,2024-01-31,2024-01-31,,"Gilda","Gilda",https://www.imdb.com/title/tt0038559/,Film,7.6,110,1946,"Drammatico, Noir, Sentimentale, Thriller",37256,1947-03-17,"Charles Vidor",,
911,tt0045923,2024-01-31,2024-01-31,,"Ivan (il figlio del diavolo bianco)","Ivan (il figlio del diavolo bianco)",https://www.imdb.com/title/tt0045923/,Film,4.0,104,1953,"Azione, Avventura, Drammatico",16,1953-12-05,"Guido Brignone",,
912,tt0047263,2024-01-31,2024-01-31,,"Anatomia di un delitto","Naked Alibi",https://www.imdb.com/title/tt0047263/,Film,6.5,86,1954,"Poliziesco, Drammatico, Noir, Thriller",1894,1955-01-19,"Jerry Hopper",,
913,tt0047383,2024-01-31,2024-01-31,,"Questi fantasmi","Questi fantasmi",https://www.imdb.com/title/tt0047383/,Film,4.5,,1954,,25,,"Eduardo De Filippo",,
914,tt0045118,2024-01-31,2024-01-31,,"Saluti e baci","Saluti e baci",https://www.imdb.com/title/tt0045118/,Film,5.7,92,1953,"Musical",28,1953-08-14,"Maurice Labro, Giorgio Simonelli",,
915,tt0047607,2024-01-31,2024-01-31,,"Tradita","Tradita",https://www.imdb.com/title/tt0047607/,Film,5.7,98,1954,"Drammatico",91,1954-09-04,"Mario Bonnard",,
916,tt0045483,2024-01-31,2024-01-31,,"Aida","Aida",https://www.imdb.com/title/tt0045483/,Film,5.3,95,1953,"Musical",281,1953-10-23,"Clemente Fracassi",,
917,tt0047467,2024-01-31,2024-01-31,,"La valle dei Maori","The Seekers",https://www.imdb.com/title/tt0047467/,Film,5.5,86,1954,"Avventura, Drammatico, Storico, Sentimentale",287,1954-06-24,"Ken Annakin",,
918,tt0045734,2024-02-01,2024-02-01,,"Gli eroi della domenica","Gli eroi della domenica",https://www.imdb.com/title/tt0045734/,Film,6.1,98,1952,"Drammatico, Sportivo",71,1952-12-30,"Mario Camerini",,
919,tt0038089,2024-02-01,2024-02-01,,"Siluri umani","Siluri umani",https://www.imdb.com/title/tt0038089/,Film,6.8,87,1954,"Drammatico, Guerra",65,1954-12-29,"Antonio Leonviola, Marc-Antonio Bragadin, Carlo Lizzani",,
920,tt0048534,2024-02-01,2024-02-01,,"Le ragazze di San Frediano","Le ragazze di San Frediano",https://www.imdb.com/title/tt0048534/,Film,6.5,102,1955,"Commedia, Sentimentale",240,1955-03-17,"Valerio Zurlini",,
921,tt0045909,2024-02-01,2024-02-01,,"L'incantevole nemica","L'incantevole nemica",https://www.imdb.com/title/tt0045909/,Film,6.6,89,1953,"Commedia",40,1953-06-14,"Claudio Gora",,
922,tt0046169,2024-02-01,2024-02-01,,"Passione","Passione",https://www.imdb.com/title/tt0046169/,Film,,91,1953,"Drammatico",0,,"Max Calandri",,
923,tt0048330,2024-02-01,2024-02-01,,"Madama Butterfly","Madama Butterfly",https://www.imdb.com/title/tt0048330/,Film,7.1,114,1954,"Drammatico, Musical",50,1954-12-29,"Carmine Gallone",,
924,tt0046115,2024-02-01,2024-02-01,,"F.B.I. divisione criminale","La môme vert de gris",https://www.imdb.com/title/tt0046115/,Film,5.9,97,1953,"Poliziesco, Drammatico, Thriller",360,1953-05-27,"Bernard Borderie",,
925,tt0047238,2024-02-01,2024-02-01,,"Miseria e nobiltà","Miseria e nobiltà",https://www.imdb.com/title/tt0047238/,Film,7.6,94,1954,"Commedia",2180,1955-02-16,"Mario Mattoli",,
926,tt0047469,2024-02-01,2024-02-01,,"Senso","Senso",https://www.imdb.com/title/tt0047469/,Film,7.4,118,1954,"Drammatico, Sentimentale, Guerra",9187,1955-01-28,"Luchino Visconti",,
927,tt0046410,2024-02-01,2024-02-01,,"Terra straniera","Terra straniera",https://www.imdb.com/title/tt0046410/,Film,,86,1954,"Drammatico",0,1954-01-15,"Sergio Corbucci",,
928,tt0159336,2024-02-01,2024-02-01,,"La canzone del cuore","La canzone del cuore",https://www.imdb.com/title/tt0159336/,Film,5.2,99,1955,"Drammatico",9,1955-09-29,"Carlo Campogalliani",,
929,tt0040544,2024-02-01,2024-02-01,,"Giovanna la pazza","Locura de amor",https://www.imdb.com/title/tt0040544/,Film,6.2,112,1948,"Drammatico",179,1949-03-02,"Juan de Orduña",,
930,tt0046352,2024-02-01,2024-02-01,,"La spiaggia","La spiaggia",https://www.imdb.com/title/tt0046352/,Film,6.9,107,1954,"Commedia, Drammatico",309,1954-02-26,"Alberto Lattuada",,
931,tt0047401,2024-02-01,2024-02-01,,"La regina Margot","La reine Margot",https://www.imdb.com/title/tt0047401/,Film,6.2,106,1954,"Drammatico, Storico",249,1954-12-29,"Jean Dréville",,
932,tt0040724,2024-02-01,2024-02-01,,"Il fiume rosso","Red River",https://www.imdb.com/title/tt0040724/,Film,7.7,133,1948,"Drammatico, Western",36273,1949-02-03,"Howard Hawks, Arthur Rosson",,
933,tt0035896,2024-02-01,2024-02-01,,"Per chi suona la campana","For Whom the Bell Tolls",https://www.imdb.com/title/tt0035896/,Film,6.8,170,1943,"Avventura, Drammatico, Storico, Sentimentale, Guerra",10689,1943-07-16,"Sam Wood",,
934,tt0027869,2024-02-01,2024-02-01,,"Il re dei pellirosse","The Last of the Mohicans",https://www.imdb.com/title/tt0027869/,Film,6.6,91,1936,"Avventura, Drammatico, Western",1786,1936-09-04,"George B. Seitz",,
935,tt0034346,2024-02-01,2024-02-01,,"Uomini sul fondo","Uomini sul fondo",https://www.imdb.com/title/tt0034346/,Film,6.8,94,1941,"Drammatico",104,1941-02-13,"Francesco De Robertis",,
936,tt0046024,2024-02-01,2024-02-01,,"Il maestro di Don Giovanni","Il maestro di Don Giovanni",https://www.imdb.com/title/tt0046024/,Film,5.7,86,1954,"Avventura",230,1954-09-17,"Milton Krims, Vittorio Vassarotti",,
937,tt0048658,2024-02-01,2024-02-01,,"Stella di Rio","Stern von Rio",https://www.imdb.com/title/tt0048658/,Film,5.3,100,1955,"Avventura, Poliziesco, Sentimentale",11,1955-04-09,"Kurt Neumann",,
938,tt0049799,2024-02-01,2024-02-01,,"Storia di una minorenne","Storia di una minorenne",https://www.imdb.com/title/tt0049799/,Film,,84,1956,,0,1956-03-16,"Piero Costa",,
939,tt0036038,2024-02-01,2024-02-01,,"Terra nera","In Old Oklahoma",https://www.imdb.com/title/tt0036038/,Film,6.3,102,1943,"Drammatico, Western",1628,1943-12-06,"Albert S. Rogell",,
940,tt0046532,2024-02-01,2024-02-01,,"Il maggiore Brady","War Arrow",https://www.imdb.com/title/tt0046532/,Film,5.9,78,1953,"Sentimentale, Guerra, Western",971,1954-01-06,"George Sherman",,
941,tt0039348,2024-02-01,2024-02-01,,"L'ebreo errante","L'ebreo errante",https://www.imdb.com/title/tt0039348/,Film,6.5,100,1948,"Drammatico, Fantastico",74,1948-02-27,"Goffredo Alessandrini",,
942,tt0046362,2024-02-01,2024-02-01,,"Stella dell'India","Star of India",https://www.imdb.com/title/tt0046362/,Film,5.6,92,1954,"Avventura, Sentimentale",201,1954-08-28,"Arthur Lubin",,
943,tt0041367,2024-02-01,2024-02-01,,"Il figlio di d'Artagnan","Il figlio di d'Artagnan",https://www.imdb.com/title/tt0041367/,Film,2.9,86,1950,"Commedia",12,1950-03-08,"Riccardo Freda",,
944,tt0032304,2024-02-05,2024-02-05,,"I ribelli dei sette mari","Captain Caution",https://www.imdb.com/title/tt0032304/,Film,5.5,86,1940,"Azione, Avventura, Sentimentale",362,1940-08-09,"Richard Wallace",,
945,tt0047207,2024-02-05,2024-02-05,,"Mambo","Mambo",https://www.imdb.com/title/tt0047207/,Film,5.8,110,1954,"Drammatico",240,1954-09-18,"Robert Rossen",,
946,tt0046951,2024-02-05,2024-02-05,,"La pista degli elefanti","Elephant Walk",https://www.imdb.com/title/tt0046951/,Film,6.3,103,1954,"Avventura, Drammatico",2850,1954-08-03,"William Dieterle",,
947,tt0039556,2024-02-05,2024-02-05,,"Schiavo del passato","The Late George Apley",https://www.imdb.com/title/tt0039556/,Film,6.9,93,1947,"Commedia, Sentimentale",978,1947-03-20,"Joseph L. Mankiewicz",,
948,tt0047912,2024-02-05,2024-02-05,,"Il campanile d'oro","Il campanile d'oro",https://www.imdb.com/title/tt0047912/,Film,,,1955,,0,,"Giorgio Simonelli",,
949,tt0045685,2024-02-05,2024-02-05,,"Di qua, di là del Piave","Di qua, di là del Piave",https://www.imdb.com/title/tt0045685/,Film,,,1954,,0,1954,"Guido Leoni",,
950,tt0029646,2024-02-05,2024-02-05,,"I volontari del Texas","Texas Trail",https://www.imdb.com/title/tt0029646/,Film,6.4,58,1937,"Drammatico, Western",235,1937-11-26,"David Selman",,
951,tt0048064,2024-02-05,2024-02-05,,"Delitto sulla spiaggia","Female on the Beach",https://www.imdb.com/title/tt0048064/,Film,6.4,97,1955,"Poliziesco, Drammatico, Noir, Giallo, Sentimentale, Thriller",1606,1955-07-27,"Joseph Pevney",,
952,tt0048605,2024-02-05,2024-02-05,,"Quando la moglie è in vacanza","The Seven Year Itch",https://www.imdb.com/title/tt0048605/,Film,7.1,105,1955,"Commedia, Sentimentale",44488,1955-11-30,"Billy Wilder",,
953,tt0201285,2024-02-05,2024-02-05,,"Rimorso che uccide","Una ventana a la vida",https://www.imdb.com/title/tt0201285/,Film,5.8,90,1953,,15,1953-08-20,"Mario Soffici",,
954,tt0041179,2024-02-05,2024-02-05,,"La pista di fuoco","The Big Wheel",https://www.imdb.com/title/tt0041179/,Film,5.6,92,1949,"Azione, Drammatico, Sentimentale, Sportivo",688,1949-11-04,"Edward Ludwig",,
955,tt0048614,2024-02-05,2024-02-05,,"La figlia di Caino","The Shrike",https://www.imdb.com/title/tt0048614/,Film,6.7,88,1955,"Drammatico",212,1955-06-16,"José Ferrer",,
956,tt0029001,2024-02-05,2024-02-05,,"Giustizia per gli indios","Hills of Old Wyoming",https://www.imdb.com/title/tt0029001/,Film,6.4,78,1937,"Drammatico, Western",198,1937-04-16,"Nate Watt",,
957,tt0040167,2024-02-05,2024-02-05,,"Dietro la maschera","Black Bart",https://www.imdb.com/title/tt0040167/,Film,6.2,80,1948,"Western",490,1948-09-18,"George Sherman",,
958,tt0045010,2024-02-05,2024-02-05,,"Passione nuda","La pasión desnuda",https://www.imdb.com/title/tt0045010/,Film,6.5,111,1953,"Drammatico",39,1953-04-01,"Luis César Amadori",,
959,tt0046505,2024-02-05,2024-02-05,,"Vestire gli ignudi","Vestire gli ignudi",https://www.imdb.com/title/tt0046505/,Film,4.6,100,1954,"Commedia, Drammatico",17,1954-02-25,"Marcello Pagliero",,
960,tt0045527,2024-02-05,2024-02-05,,"L'avventuriero di Siviglia","Aventuras del barbero de Sevilla",https://www.imdb.com/title/tt0045527/,Film,6.6,92,1954,"Commedia, Musical",73,1956-02,"Ladislao Vajda",,
961,tt0046808,2024-02-05,2024-02-05,,"La lancia che uccide","Broken Lance",https://www.imdb.com/title/tt0046808/,Film,6.9,96,1954,"Avventura, Drammatico, Western",4528,1955-02-19,"Edward Dmytryk",,
962,tt0042980,2024-02-05,2024-02-05,,"Tragica incertezza","So Long at the Fair",https://www.imdb.com/title/tt0042980/,Film,7.1,86,1950,"Drammatico, Giallo",2625,1950-06-03,"Antony Darnborough, Terence Fisher",,
963,tt0038306,2024-02-05,2024-02-05,,"Aquila nera","Aquila nera",https://www.imdb.com/title/tt0038306/,Film,6.0,97,1946,"Drammatico",127,1946-09-21,"Riccardo Freda",,
964,tt0046303,2024-02-05,2024-02-05,,"Il cavaliere della valle solitaria","Shane",https://www.imdb.com/title/tt0046303/,Film,7.6,118,1953,"Drammatico, Western",46013,1953-10-24,"George Stevens",,
965,tt0044473,2024-02-05,2024-02-05,,"Capitano ardente","Capitaine Ardant",https://www.imdb.com/title/tt0044473/,Film,,92,1951,"Drammatico",0,1951-11-15,"André Zwobada",,
966,tt0033562,2024-02-05,2024-02-05,,"Le due tigri","Le due tigri",https://www.imdb.com/title/tt0033562/,Film,5.6,85,1941,"Azione, Avventura, Fantastico",33,1941-11-29,"Giorgio Simonelli",,
967,tt0045053,2024-02-05,2024-02-05,,"Il prigioniero di Zenda","The Prisoner of Zenda",https://www.imdb.com/title/tt0045053/,Film,6.9,96,1952,"Avventura, Giallo, Sentimentale",4157,1952-11-14,"Richard Thorpe",,
968,tt0048628,2024-02-05,2024-02-05,,"La rapina del secolo","Six Bridges to Cross",https://www.imdb.com/title/tt0048628/,Film,6.7,96,1955,"Poliziesco, Drammatico, Noir, Thriller",781,1955-01-29,"Joseph Pevney",,
969,tt0283145,2024-02-05,2024-02-05,,"La grande strada","Wielka droga",https://www.imdb.com/title/tt0283145/,Film,5.9,87,1946,"Drammatico, Guerra",56,1946-10-29,"Michal Waszynski",,
970,tt0044324,2024-02-05,2024-02-05,,"Il prezzo del dovere","Above and Beyond",https://www.imdb.com/title/tt0044324/,Film,6.9,122,1952,"Biografico, Drammatico, Guerra",1425,1953-01-02,"Melvin Frank, Norman Panama",,
971,tt0046800,2024-02-05,2024-02-05,,"La fine di un tiranno","Border River",https://www.imdb.com/title/tt0046800/,Film,6.0,80,1954,"Western",664,1954-01,"George Sherman",,
972,tt0046126,2024-02-05,2024-02-05,,"Niagara","Niagara",https://www.imdb.com/title/tt0046126/,Film,7.0,92,1953,"Drammatico, Noir, Thriller",21057,1953-09-04,"Henry Hathaway",,
973,tt0048676,2024-02-05,2024-02-05,,"Suor Maria","Suor Maria",https://www.imdb.com/title/tt0048676/,Film,,95,1955,"Drammatico, Musical",0,,"Luigi Capuano",,
974,tt0197612,2024-02-05,2024-02-05,,"Scandalo alla ribalta","Lady Paname",https://www.imdb.com/title/tt0197612/,Film,6.9,113,1950,"Commedia, Drammatico",153,1953,"Henri Jeanson",,
975,tt0048313,2024-02-05,2024-02-05,,"Gli sciacalli","The Looters",https://www.imdb.com/title/tt0048313/,Film,6.1,87,1955,"Avventura",205,1955-05,"Abner Biberman",,
976,tt0168689,2024-02-05,2024-02-05,,"Una donna ha ucciso","Una donna ha ucciso",https://www.imdb.com/title/tt0168689/,Film,6.8,93,1952,"Poliziesco, Drammatico, Sentimentale",79,1952-01-04,"Vittorio Cottafavi",,
