date,const,title,income,source
1950-12-01,tt0041739,Patto col diavolo,,Elettrocarbonium 1950-51
1950-12-07,tt0040568,Alba di sangue,,Elettrocarbonium 1950-51
1950-12-17,tt0046160,Paolo e Francesca,,Elettrocarbonium 1950-51
1950-12-20,tt0040090,Gli amanti di Verona,,Elettrocarbonium 1950-51
1950-12-25,tt0038882,Rigoletto,,Elettrocarbonium 1950-51
1950-12-29,tt0039135,L'aquila a due teste,,Elettrocarbonium 1950-51
1950-12-31,tt0038002,"Pronto, chi parla?",,Elettrocarbonium 1950-51
1951-01-01,tt0039135,L'aquila a due teste,,Elettrocarbonium 1950-51
1951-01-05,tt0040737,Riso amaro,,Elettrocarbonium 1950-51
1951-01-06,tt0040605,La montagna di cristallo,,Elettrocarbonium 1950-51
1951-01-14,tt0041843,Santo disonore,,Elettrocarbonium 1950-51
1951-01-20,tt0026286,Don Bosco,,Elettrocarbonium 1950-51
1951-02-03,tt0033105,L'isola del diavolo,,Elettrocarbonium 1950-51
1951-02-04,tt0033380,Beatrice Cenci,,Elettrocarbonium 1950-51
1951-02-08,tt0041588,Una lettera all'alba,,Elettrocarbonium 1950-51
1951-02-10,tt0038297,Amanti in fuga,,Elettrocarbonium 1950-51
1951-02-19,tt0041588,Una lettera all'alba,,Elettrocarbonium 1950-51
1951-02-27,tt0032935,Il postiglione della steppa,,Elettrocarbonium 1950-51
1951-03-10,tt0040090,Gli amanti di Verona,,Elettrocarbonium 1950-51
1951-03-11,tt0045299,Una voce nel tuo cuore,,Elettrocarbonium 1950-51
1951-03-11,tt0032407,Dopo divorzieremo,,Elettrocarbonium 1950-51
1951-03-16,tt0038225,La vita ricomincia,,Elettrocarbonium 1950-51
1951-03-19,tt0039308,Disperato d'amore,,Elettrocarbonium 1950-51
1951-03-26,tt0040774,La sepolta viva,,Elettrocarbonium 1950-51
1951-04-01,tt0032307,"Caravaggio, il pittore maledetto",,Elettrocarbonium 1950-51
1951-04-04,tt0033177,Tosca,,Elettrocarbonium 1950-51
1951-04-07,tt0039437,Il delfino verde,19000,"Elettrocarbonium 1950-51, Calendario 1951"
1951-04-11,tt0039086,Voglio bene soltanto a te!,,Elettrocarbonium 1950-51
1951-04-14,tt0041102,Al diavolo la celebrità,,"Elettrocarbonium 1950-51, Calendario 1951"
1951-04-15,tt0041226,Canzoni per le strade,,Elettrocarbonium 1950-51
1951-04-17,tt0032200,"Amami, Alfredo!",,Elettrocarbonium 1950-51
1951-04-18,tt0040695,Tragedia a Santa Monica,1600,"Elettrocarbonium 1950-51, Calendario 1951"
1951-04-22,tt0041925,La strada buia,,Elettrocarbonium 1950-51
1951-04-23,tt0041307,Donne senza nome,,Elettrocarbonium 1950-51
1951-04-25,tt0039135,L'aquila a due teste,6650,Calendario 1951
1951-04-29,tt0041102,Al diavolo la celebrità,,Elettrocarbonium 1950-51
1951-05-01,tt0028221,Le scarpe al sole,,Elettrocarbonium 1950-51
1951-05-01,tt0039291,Cuore,6000,Calendario 1951
1951-05-05,tt0042427,L'edera,,Elettrocarbonium 1950-51
1951-05-08,tt0032302,Capitan Fracassa,,Elettrocarbonium 1950-51
1951-05-11,tt0040406,Guglielmo Tell,21800,"Elettrocarbonium 1950-51, Calendario 1951"
1951-05-19,tt0030107,Ettore Fieramosca,,Elettrocarbonium 1950-51
1951-05-22,tt0034726,Fedora,13600,Calendario 1951
1951-05-26,tt0042235,La bellezza del diavolo,,Elettrocarbonium 1950-51
1951-05-27,tt0041320,Duello senza onore,21000,Calendario 1951
1951-06-02,tt0033489,La corona di ferro,24400,"Elettrocarbonium 1950-51, Calendario 1951"
1951-06-09,tt0041668,Il mulatto,,Elettrocarbonium 1950-51
1951-06-12,tt0143881,La signora dalle camelie,35000,Calendario 1951
1951-06-15,tt0035046,Mater dolorosa,9000,Calendario 1951
1951-06-22,tt0033946,L'incompiuta,6000,Calendario 1951
1951-06-24,tt0039750,La donna di fuoco,18300,Calendario 1951
1951-07-05,tt0023943,Fra' Diavolo,16800,Calendario 1951
1951-07-11,tt0023241,Follie del cinema,3500,Calendario 1951
1951-07-14,tt0039146,L'altra,18700,Calendario 1951
1951-07-19,tt0039600,Vendetta nel sole,13000,Calendario 1951
1951-07-23,tt0034194,Sissignora,4800,Calendario 1951
1951-08-10,tt0200150,Figlia mia,20000,Calendario 1951
1951-08-14,tt0039323,La dea inginocchiata,10000,Calendario 1951
1951-08-18,tt0035306,Senza una donna,,Calendario 1951
1951-09-01,tt0030107,Ettore Fieramosca,15100,"Elettrocarbonium 1950-51, Calendario 1951"
1951-09-04,tt0043076,Turri il bandito,11400,Calendario 1951
1951-09-09,tt0038510,Enamorada,21400,"Elettrocarbonium 1950-51, Calendario 1951"
1951-09-15,tt0039492,Il segreto del castello,21500,Calendario 1951
1951-09-21,tt0042673,Il leone di Amalfi,14000,Calendario 1951
1951-09-25,tt0042427,L'edera,5000,Calendario 1951
1951-09-27,tt0032266,Boccaccio,5700,Calendario 1951
1951-10-14,tt0041668,Il mulatto,,Calendario 1951
1951-10-25,tt0038358,Biraghin,9500,Calendario 1951
1951-11-01,tt0043028,La taverna della libertà,,Calendario 1951
1951-11-10,tt0042301,Il cammino della speranza,25000,Calendario 1951
1951-11-17,tt0043157,Lo zappatore,,"Bruzia 1951-52, Calendario 1951"
1951-11-21,tt0043993,Santa Lucia Luntana,2300,Calendario 1951
1951-11-23,tt0032758,Marco Visconti,,Calendario 1951
1951-12-05,tt0042903,Il re dei cuori,,Calendario 1951
1951-12-14,tt0216848,Il mio uomo sei tu,,Calendario 1951
1951-12-29,tt0032300,Cantate con me,,Bruzia 1951-52
1952-01-01,tt0036389,La storia di una capinera,31000,"Bruzia 1951-52, Calendario 1952"
1952-01-03,tt0038255,Gli ammutinati di Sing Sing,,Bruzia 1951-52
1952-01-04,tt0032300,Cantate con me,8000,Calendario 1952
1952-01-05,tt0218257,L'albero stregato,25000,Calendario 1952
1952-01-06,tt0183476,Malavita,,Bruzia 1951-52
1952-01-12,tt0183476,Malavita,32000,Calendario 1952
1952-01-13,tt0041767,Il principe delle volpi,,Bruzia 1951-52
1952-01-17,tt0032200,"Amami, Alfredo!",15000,"Bruzia 1951-52, Calendario 1952"
1952-01-19,tt0035168,I pagliacci,19500,"Bruzia 1951-52, Calendario 1952"
1952-01-22,tt0038473,Malafemmina,15000,"Bruzia 1951-52, Calendario 1952"
1952-01-25,tt0042597,Gli inesorabili,41300,"Bruzia 1951-52, Calendario 1952"
1952-02-01,tt0042419,Due mogli sono troppe,15000,Calendario 1952
1952-02-03,tt0032905,Piccolo alpino,,Bruzia 1951-52
1952-02-05,tt0034090,Regina di Navarra,14000,"Bruzia 1951-52, Calendario 1952"
1952-02-09,tt0041232,Catene,43500,"Bruzia 1951-52, Calendario 1952"
1952-02-16,tt0040198,Calamità d'oro,16700,"Bruzia 1951-52, Calendario 1952"
1952-02-18,tt0040100,Anni difficili,144000,Calendario 1952
1952-02-22,tt0033405,Sangue e arena,,Bruzia 1951-52
1952-02-26,tt0038255,Gli ammutinati di Sing Sing,12000,Calendario 1952
1952-02-29,tt0041248,Cielo sulla palude,7500,Calendario 1952
1952-03-01,tt0041248,Cielo sulla palude,44000,"Bruzia 1951-52, Calendario 1952"
1952-03-03,tt0032532,Giuliano de' Medici,,Bruzia 1951-52
1952-03-08,tt0031466,Questa donna è mia,13000,"Bruzia 1951-52, Calendario 1952"
1952-03-11,tt0040389,Giudicatemi!,10000,Calendario 1952
1952-03-11,tt0038255,Gli ammutinati di Sing Sing,,Bruzia 1951-52
1952-03-14,tt0041979,Il tradimento,,Calendario 1952
1952-03-15,tt0160794,Ardimento,,Bruzia 1951-52
1952-03-16,tt0040389,Giudicatemi!,,Bruzia 1951-52
1952-03-17,tt0031972,Sfida a Baltimora,,Bruzia 1951-52
1952-03-20,tt0033964,Nozze di sangue,,"Bruzia 1951-52, Calendario 1952"
1952-03-21,tt0031972,Sfida a Baltimora,7000,Calendario 1952
1952-03-23,tt0042904,Romanticismo,46000,"Bruzia 1951-52, Calendario 1952"
1952-03-29,tt0041226,Canzoni per le strade,13000,Bruzia 1951-52
1952-03-31,tt0039163,Assunta Spina,12000,Calendario 1952
1952-04-02,tt0030795,Stella del mare,6000,Calendario 1952
1952-04-06,tt0042297,Il caimano del Piave,41000,"Bruzia 1951-52, Calendario 1952"
1952-04-13,tt0043382,Carcerato,48000,"Bruzia 1951-52, Calendario 1952"
1952-04-20,tt0041767,Il principe delle volpi,,"Bruzia 1951-52, Calendario 1952"
1952-04-22,tt0032365,Credo in Dio,,Bruzia 1951-52
1952-04-23,tt0039793,Il mostro di Rio Escondido,8000,Calendario 1952
1952-04-25,tt0032365,Credo in Dio,25000,Calendario 1952
1952-04-25,tt0039616,Duello all'alba,,Bruzia 1951-52
1952-04-29,tt0032734,Lucrezia Borgia,5000,Calendario 1952
1952-05-03,tt0031507,Jess il bandito,20000,"Bruzia 1951-52, Calendario 1952"
1952-05-07,tt0035752,Il conte di Montecristo,15000,"Bruzia 1951-52, Calendario 1952"
1952-05-11,tt0041643,I lancieri del deserto,17000,"Bruzia 1951-52, Calendario 1952"
1952-05-15,tt0039391,Ambra,,Bruzia 1951-52
